audio_offset;viseme_id;body_anim;emo_value;video
50.0;0;informar;0.2;
100.0;4;informar;0.2;
225.0;15;informar;0.2;
312.5;19;informar;0.2;
387.5;8;informar;0.2;
450.0;6;informar;0.2;
525.0;21;informar;0.2;
587.5;4;informar;0.2;
637.5;19;informar;0.2;
712.5;18;informar;0.2;
787.5;4;informar;0.2;
850.0;20;informar;0.2;
937.5;19;informar;0.2;
1000.0;2;informar;0.2;
1050.0;21;informar;0.2;
1125.0;4;informar;0.2;
1200.0;19;informar;0.2;
1312.5;19;informar;0.2;
1375.0;4;informar;0.2;
1562.0;0;informar;0.2;
